Roky;Území;Ukazatel;Rezidence;value
2023;Kraj Vysočina;Počet hostů;Rezidenti;588861.0
2023;Kraj Vysočina;Počet hostů;Nerezidenti;81263.0
2023;Kraj Vysočina;Počet přenocování;Celkem;1567711.0
2023;Kraj Vysočina;Počet přenocování;Rezidenti;1391941.0
2023;Kraj Vysočina;Počet přenocování;Nerezidenti;175770.0
2023;Kraj Vysočina;Průměrný počet přenocování ;Celkem;2.3394341943
2023;Kraj Vysočina;Průměrný počet přenocování ;Rezidenti;2.3637853415
2023;Kraj Vysočina;Průměrný počet přenocování ;Nerezidenti;2.1629770006
2023;Jihomoravský kraj;Počet hostů;Celkem;2165969.0
2023;Jihomoravský kraj;Počet hostů;Rezidenti;1475667.0
2023;Jihomoravský kraj;Počet hostů;Nerezidenti;690302.0
2023;Jihomoravský kraj;Počet přenocování;Celkem;4236998.0
2023;Jihomoravský kraj;Počet přenocování;Rezidenti;3086321.0
2023;Jihomoravský kraj;Počet přenocování;Nerezidenti;1150677.0
2023;Jihomoravský kraj;Průměrný počet přenocování ;Celkem;1.9561674244
2023;Jihomoravský kraj;Průměrný počet přenocování ;Rezidenti;2.0914752448
2023;Jihomoravský kraj;Průměrný počet přenocování ;Nerezidenti;1.6669182474
2023;Olomoucký kraj;Počet hostů;Celkem;784744.0
2023;Olomoucký kraj;Počet hostů;Rezidenti;651235.0
2023;Olomoucký kraj;Počet hostů;Nerezidenti;133509.0
2023;Olomoucký kraj;Počet přenocování;Celkem;2350502.0
2023;Olomoucký kraj;Počet přenocování;Rezidenti;2041417.0
2023;Olomoucký kraj;Počet přenocování;Nerezidenti;309085.0
2023;Olomoucký kraj;Průměrný počet přenocování ;Celkem;2.9952468576
2023;Olomoucký kraj;Průměrný počet přenocování ;Rezidenti;3.1346856358
2023;Olomoucký kraj;Průměrný počet přenocování ;Nerezidenti;2.3150873724
2023;Zlínský kraj;Počet hostů;Celkem;821743.0
2023;Zlínský kraj;Počet hostů;Rezidenti;709161.0
2023;Zlínský kraj;Počet hostů;Nerezidenti;112582.0
2023;Zlínský kraj;Počet přenocování;Celkem;2265857.0
2023;Zlínský kraj;Počet přenocování;Rezidenti;2021390.0
2023;Zlínský kraj;Počet přenocování;Nerezidenti;244467.0
2023;Zlínský kraj;Průměrný počet přenocování ;Celkem;2.7573791319
2023;Zlínský kraj;Průměrný počet přenocování ;Rezidenti;2.8503964544
2023;Zlínský kraj;Průměrný počet přenocování ;Nerezidenti;2.1714572489
2023;Moravskoslezský kraj;Počet hostů;Celkem;1038419.0
2023;Moravskoslezský kraj;Počet hostů;Rezidenti;833801.0
2023;Moravskoslezský kraj;Počet hostů;Nerezidenti;204618.0
2023;Moravskoslezský kraj;Počet přenocování;Celkem;2738224.0
2023;Moravskoslezský kraj;Počet přenocování;Rezidenti;2292995.0
2023;Moravskoslezský kraj;Počet přenocování;Nerezidenti;445229.0
2023;Moravskoslezský kraj;Průměrný počet přenocování ;Celkem;2.6369163122
2023;Moravskoslezský kraj;Průměrný počet přenocování ;Rezidenti;2.7500506716
2023;Moravskoslezský kraj;Průměrný počet přenocování ;Nerezidenti;2.1759033907
